parameter,scale,norm_grade,metric,filter_type,filter_value,base_n,norm_value
Absorbance Speed,7,Average 50%,MS,# of Product,1,15,7.0
Absorbance Speed,7,Average 50%,T2B%,# of Product,1,15,100.0
Absorbance Speed,7,Average 50%,T3B%,# of Product,1,15,100.0
Absorbance Speed,7,Average 50%,TB%,# of Product,1,15,100.0
Absorbance Speed,7,Bottom 25%,MS,# of Product,1,7,4.14
Absorbance Speed,7,Bottom 25%,T2B%,# of Product,1,7,42.86
Absorbance Speed,7,Bottom 25%,T3B%,# of Product,1,7,57.14
Absorbance Speed,7,Bottom 25%,TB%,# of Product,1,7,0.0
Absorbance Speed,7,Top 25%,MS,# of Product,1,7,7.0
Absorbance Speed,7,Top 25%,T2B%,# of Product,1,7,100.0
Absorbance Speed,7,Top 25%,T3B%,# of Product,1,7,100.0
Absorbance Speed,7,Top 25%,TB%,# of Product,1,7,100.0
Absorbance Speed,7,Average 50%,MS,Actual Age,20.0,1,7.0
Absorbance Speed,7,Average 50%,T2B%,Actual Age,20.0,1,100.0
Absorbance Speed,7,Average 50%,T3B%,Actual Age,20.0,1,100.0
Absorbance Speed,7,Average 50%,TB%,Actual Age,20.0,1,100.0
Absorbance Speed,7,Bottom 25%,MS,Actual Age,20.0,0,
Absorbance Speed,7,Bottom 25%,T2B%,Actual Age,20.0,0,
Absorbance Speed,7,Bottom 25%,T3B%,Actual Age,20.0,0,
Absorbance Speed,7,Bottom 25%,TB%,Actual Age,20.0,0,
Absorbance Speed,7,Top 25%,MS,Actual Age,20.0,0,
Absorbance Speed,7,Top 25%,T2B%,Actual Age,20.0,0,
Absorbance Speed,7,Top 25%,T3B%,Actual Age,20.0,0,
Absorbance Speed,7,Top 25%,TB%,Actual Age,20.0,0,
Absorbance Speed,7,Average 50%,MS,Actual Age,21.0,1,7.0
Absorbance Speed,7,Average 50%,T2B%,Actual Age,21.0,1,100.0
Absorbance Speed,7,Average 50%,T3B%,Actual Age,21.0,1,100.0
Absorbance Speed,7,Average 50%,TB%,Actual Age,21.0,1,100.0
Absorbance Speed,7,Bottom 25%,MS,Actual Age,21.0,0,
Absorbance Speed,7,Bottom 25%,T2B%,Actual Age,21.0,0,
Absorbance Speed,7,Bottom 25%,T3B%,Actual Age,21.0,0,
Absorbance Speed,7,Bottom 25%,TB%,Actual Age,21.0,0,
Absorbance Speed,7,Top 25%,MS,Actual Age,21.0,0,
Absorbance Speed,7,Top 25%,T2B%,Actual Age,21.0,0,
Absorbance Speed,7,Top 25%,T3B%,Actual Age,21.0,0,
Absorbance Speed,7,Top 25%,TB%,Actual Age,21.0,0,
Absorbance Speed,7,Average 50%,MS,Actual Age,22.0,1,7.0
Absorbance Speed,7,Average 50%,T2B%,Actual Age,22.0,1,100.0
Absorbance Speed,7,Average 50%,T3B%,Actual Age,22.0,1,100.0
Absorbance Speed,7,Average 50%,TB%,Actual Age,22.0,1,100.0
Absorbance Speed,7,Bottom 25%,MS,Actual Age,22.0,0,
Absorbance Speed,7,Bottom 25%,T2B%,Actual Age,22.0,0,
Absorbance Speed,7,Bottom 25%,T3B%,Actual Age,22.0,0,
Absorbance Speed,7,Bottom 25%,TB%,Actual Age,22.0,0,
Absorbance Speed,7,Top 25%,MS,Actual Age,22.0,0,
Absorbance Speed,7,Top 25%,T2B%,Actual Age,22.0,0,
Absorbance Speed,7,Top 25%,T3B%,Actual Age,22.0,0,
Absorbance Speed,7,Top 25%,TB%,Actual Age,22.0,0,
Absorbance Speed,7,Average 50%,MS,Actual Age,23.0,0,
Absorbance Speed,7,Average 50%,T2B%,Actual Age,23.0,0,
Absorbance Speed,7,Average 50%,T3B%,Actual Age,23.0,0,
Absorbance Speed,7,Average 50%,TB%,Actual Age,23.0,0,
Absorbance Speed,7,Bottom 25%,MS,Actual Age,23.0,0,
Absorbance Speed,7,Bottom 25%,T2B%,Actual Age,23.0,0,
Absorbance Speed,7,Bottom 25%,T3B%,Actual Age,23.0,0,
Absorbance Speed,7,Bottom 25%,TB%,Actual Age,23.0,0,
Absorbance Speed,7,Top 25%,MS,Actual Age,23.0,0,
Absorbance Speed,7,Top 25%,T2B%,Actual Age,23.0,0,
Absorbance Speed,7,Top 25%,T3B%,Actual Age,23.0,0,
Absorbance Speed,7,Top 25%,TB%,Actual Age,23.0,0,
Absorbance Speed,7,Average 50%,MS,Actual Age,24.0,0,
Absorbance Speed,7,Average 50%,T2B%,Actual Age,24.0,0,
Absorbance Speed,7,Average 50%,T3B%,Actual Age,24.0,0,
Absorbance Speed,7,Average 50%,TB%,Actual Age,24.0,0,
Absorbance Speed,7,Bottom 25%,MS,Actual Age,24.0,0,
Absorbance Speed,7,Bottom 25%,T2B%,Actual Age,24.0,0,
Absorbance Speed,7,Bottom 25%,T3B%,Actual Age,24.0,0,
Absorbance Speed,7,Bottom 25%,TB%,Actual Age,24.0,0,
Absorbance Speed,7,Top 25%,MS,Actual Age,24.0,0,
Absorbance Speed,7,Top 25%,T2B%,Actual Age,24.0,0,
Absorbance Speed,7,Top 25%,T3B%,Actual Age,24.0,0,
Absorbance Speed,7,Top 25%,TB%,Actual Age,24.0,0,
Absorbance Speed,7,Average 50%,MS,Actual Age,25.0,0,
Absorbance Speed,7,Average 50%,T2B%,Actual Age,25.0,0,
Absorbance Speed,7,Average 50%,T3B%,Actual Age,25.0,0,
Absorbance Speed,7,Average 50%,TB%,Actual Age,25.0,0,
Absorbance Speed,7,Bottom 25%,MS,Actual Age,25.0,0,
Absorbance Speed,7,Bottom 25%,T2B%,Actual Age,25.0,0,
Absorbance Speed,7,Bottom 25%,T3B%,Actual Age,25.0,0,
Absorbance Speed,7,Bottom 25%,TB%,Actual Age,25.0,0,
Absorbance Speed,7,Top 25%,MS,Actual Age,25.0,0,
Absorbance Speed,7,Top 25%,T2B%,Actual Age,25.0,0,
Absorbance Speed,7,Top 25%,T3B%,Actual Age,25.0,0,
Absorbance Speed,7,Top 25%,TB%,Actual Age,25.0,0,
Absorbance Speed,7,Average 50%,MS,Actual Age,28.0,0,
Absorbance Speed,7,Average 50%,T2B%,Actual Age,28.0,0,
Absorbance Speed,7,Average 50%,T3B%,Actual Age,28.0,0,
Absorbance Speed,7,Average 50%,TB%,Actual Age,28.0,0,
Absorbance Speed,7,Bottom 25%,MS,Actual Age,28.0,0,
Absorbance Speed,7,Bottom 25%,T2B%,Actual Age,28.0,0,
Absorbance Speed,7,Bottom 25%,T3B%,Actual Age,28.0,0,
Absorbance Speed,7,Bottom 25%,TB%,Actual Age,28.0,0,
Absorbance Speed,7,Top 25%,MS,Actual Age,28.0,0,
Absorbance Speed,7,Top 25%,T2B%,Actual Age,28.0,0,
Absorbance Speed,7,Top 25%,T3B%,Actual Age,28.0,0,
Absorbance Speed,7,Top 25%,TB%,Actual Age,28.0,0,
Absorbance Speed,7,Average 50%,MS,Actual Age,29.0,2,6.5
Absorbance Speed,7,Average 50%,T2B%,Actual Age,29.0,2,100.0
Absorbance Speed,7,Average 50%,T3B%,Actual Age,29.0,2,100.0
Absorbance Speed,7,Average 50%,TB%,Actual Age,29.0,2,50.0
Absorbance Speed,7,Bottom 25%,MS,Actual Age,29.0,1,5.0
Absorbance Speed,7,Bottom 25%,T2B%,Actual Age,29.0,1,0.0
Absorbance Speed,7,Bottom 25%,T3B%,Actual Age,29.0,1,100.0
Absorbance Speed,7,Bottom 25%,TB%,Actual Age,29.0,1,0.0
Absorbance Speed,7,Top 25%,MS,Actual Age,29.0,1,7.0
Absorbance Speed,7,Top 25%,T2B%,Actual Age,29.0,1,100.0
Absorbance Speed,7,Top 25%,T3B%,Actual Age,29.0,1,100.0
Absorbance Speed,7,Top 25%,TB%,Actual Age,29.0,1,100.0
Absorbance Speed,7,Average 50%,MS,Actual Age,30.0,2,7.0
Absorbance Speed,7,Average 50%,T2B%,Actual Age,30.0,2,100.0
Absorbance Speed,7,Average 50%,T3B%,Actual Age,30.0,2,100.0
Absorbance Speed,7,Average 50%,TB%,Actual Age,30.0,2,100.0
Absorbance Speed,7,Bottom 25%,MS,Actual Age,30.0,1,1.0
Absorbance Speed,7,Bottom 25%,T2B%,Actual Age,30.0,1,0.0
Absorbance Speed,7,Bottom 25%,T3B%,Actual Age,30.0,1,0.0
Absorbance Speed,7,Bottom 25%,TB%,Actual Age,30.0,1,0.0
Absorbance Speed,7,Top 25%,MS,Actual Age,30.0,1,7.0
Absorbance Speed,7,Top 25%,T2B%,Actual Age,30.0,1,100.0
Absorbance Speed,7,Top 25%,T3B%,Actual Age,30.0,1,100.0
Absorbance Speed,7,Top 25%,TB%,Actual Age,30.0,1,100.0
Absorbance Speed,7,Average 50%,MS,Actual Age,32.0,2,6.5
Absorbance Speed,7,Average 50%,T2B%,Actual Age,32.0,2,100.0
Absorbance Speed,7,Average 50%,T3B%,Actual Age,32.0,2,100.0
Absorbance Speed,7,Average 50%,TB%,Actual Age,32.0,2,50.0
Absorbance Speed,7,Bottom 25%,MS,Actual Age,32.0,1,3.0
Absorbance Speed,7,Bottom 25%,T2B%,Actual Age,32.0,1,0.0
Absorbance Speed,7,Bottom 25%,T3B%,Actual Age,32.0,1,0.0
Absorbance Speed,7,Bottom 25%,TB%,Actual Age,32.0,1,0.0
Absorbance Speed,7,Top 25%,MS,Actual Age,32.0,1,7.0
Absorbance Speed,7,Top 25%,T2B%,Actual Age,32.0,1,100.0
Absorbance Speed,7,Top 25%,T3B%,Actual Age,32.0,1,100.0
Absorbance Speed,7,Top 25%,TB%,Actual Age,32.0,1,100.0
Absorbance Speed,7,Average 50%,MS,Actual Age,33.0,1,7.0
Absorbance Speed,7,Average 50%,T2B%,Actual Age,33.0,1,100.0
Absorbance Speed,7,Average 50%,T3B%,Actual Age,33.0,1,100.0
Absorbance Speed,7,Average 50%,TB%,Actual Age,33.0,1,100.0
Absorbance Speed,7,Bottom 25%,MS,Actual Age,33.0,0,
Absorbance Speed,7,Bottom 25%,T2B%,Actual Age,33.0,0,
Absorbance Speed,7,Bottom 25%,T3B%,Actual Age,33.0,0,
Absorbance Speed,7,Bottom 25%,TB%,Actual Age,33.0,0,
Absorbance Speed,7,Top 25%,MS,Actual Age,33.0,0,
Absorbance Speed,7,Top 25%,T2B%,Actual Age,33.0,0,
Absorbance Speed,7,Top 25%,T3B%,Actual Age,33.0,0,
Absorbance Speed,7,Top 25%,TB%,Actual Age,33.0,0,
Absorbance Speed,7,Average 50%,MS,Actual Age,34.0,1,7.0
Absorbance Speed,7,Average 50%,T2B%,Actual Age,34.0,1,100.0
Absorbance Speed,7,Average 50%,T3B%,Actual Age,34.0,1,100.0
Absorbance Speed,7,Average 50%,TB%,Actual Age,34.0,1,100.0
Absorbance Speed,7,Bottom 25%,MS,Actual Age,34.0,0,
Absorbance Speed,7,Bottom 25%,T2B%,Actual Age,34.0,0,
Absorbance Speed,7,Bottom 25%,T3B%,Actual Age,34.0,0,
Absorbance Speed,7,Bottom 25%,TB%,Actual Age,34.0,0,
Absorbance Speed,7,Top 25%,MS,Actual Age,34.0,0,
Absorbance Speed,7,Top 25%,T2B%,Actual Age,34.0,0,
Absorbance Speed,7,Top 25%,T3B%,Actual Age,34.0,0,
Absorbance Speed,7,Top 25%,TB%,Actual Age,34.0,0,
Absorbance Speed,7,Average 50%,MS,Actual Age,35.0,0,
Absorbance Speed,7,Average 50%,T2B%,Actual Age,35.0,0,
Absorbance Speed,7,Average 50%,T3B%,Actual Age,35.0,0,
Absorbance Speed,7,Average 50%,TB%,Actual Age,35.0,0,
Absorbance Speed,7,Bottom 25%,MS,Actual Age,35.0,0,
Absorbance Speed,7,Bottom 25%,T2B%,Actual Age,35.0,0,
Absorbance Speed,7,Bottom 25%,T3B%,Actual Age,35.0,0,
Absorbance Speed,7,Bottom 25%,TB%,Actual Age,35.0,0,
Absorbance Speed,7,Top 25%,MS,Actual Age,35.0,0,
Absorbance Speed,7,Top 25%,T2B%,Actual Age,35.0,0,
Absorbance Speed,7,Top 25%,T3B%,Actual Age,35.0,0,
Absorbance Speed,7,Top 25%,TB%,Actual Age,35.0,0,
Absorbance Speed,7,Average 50%,MS,Category,Personal Care,15,7.0
Absorbance Speed,7,Average 50%,T2B%,Category,Personal Care,15,100.0
Absorbance Speed,7,Average 50%,T3B%,Category,Personal Care,15,100.0
Absorbance Speed,7,Average 50%,TB%,Category,Personal Care,15,100.0
Absorbance Speed,7,Bottom 25%,MS,Category,Personal Care,7,4.14
Absorbance Speed,7,Bottom 25%,T2B%,Category,Personal Care,7,42.86
Absorbance Speed,7,Bottom 25%,T3B%,Category,Personal Care,7,57.14
Absorbance Speed,7,Bottom 25%,TB%,Category,Personal Care,7,0.0
Absorbance Speed,7,Top 25%,MS,Category,Personal Care,7,7.0
Absorbance Speed,7,Top 25%,T2B%,Category,Personal Care,7,100.0
Absorbance Speed,7,Top 25%,T3B%,Category,Personal Care,7,100.0
Absorbance Speed,7,Top 25%,TB%,Category,Personal Care,7,100.0
Absorbance Speed,7,Average 50%,MS,Detail Product,Blurring Suncreen,15,7.0
Absorbance Speed,7,Average 50%,T2B%,Detail Product,Blurring Suncreen,15,100.0
Absorbance Speed,7,Average 50%,T3B%,Detail Product,Blurring Suncreen,15,100.0
Absorbance Speed,7,Average 50%,TB%,Detail Product,Blurring Suncreen,15,100.0
Absorbance Speed,7,Bottom 25%,MS,Detail Product,Blurring Suncreen,7,4.14
Absorbance Speed,7,Bottom 25%,T2B%,Detail Product,Blurring Suncreen,7,42.86
Absorbance Speed,7,Bottom 25%,T3B%,Detail Product,Blurring Suncreen,7,57.14
Absorbance Speed,7,Bottom 25%,TB%,Detail Product,Blurring Suncreen,7,0.0
Absorbance Speed,7,Top 25%,MS,Detail Product,Blurring Suncreen,7,7.0
Absorbance Speed,7,Top 25%,T2B%,Detail Product,Blurring Suncreen,7,100.0
Absorbance Speed,7,Top 25%,T3B%,Detail Product,Blurring Suncreen,7,100.0
Absorbance Speed,7,Top 25%,TB%,Detail Product,Blurring Suncreen,7,100.0
Absorbance Speed,7,Average 50%,MS,Gender,Perempuan,15,7.0
Absorbance Speed,7,Average 50%,T2B%,Gender,Perempuan,15,100.0
Absorbance Speed,7,Average 50%,T3B%,Gender,Perempuan,15,100.0
Absorbance Speed,7,Average 50%,TB%,Gender,Perempuan,15,100.0
Absorbance Speed,7,Bottom 25%,MS,Gender,Perempuan,7,4.14
Absorbance Speed,7,Bottom 25%,T2B%,Gender,Perempuan,7,42.86
Absorbance Speed,7,Bottom 25%,T3B%,Gender,Perempuan,7,57.14
Absorbance Speed,7,Bottom 25%,TB%,Gender,Perempuan,7,0.0
Absorbance Speed,7,Top 25%,MS,Gender,Perempuan,7,7.0
Absorbance Speed,7,Top 25%,T2B%,Gender,Perempuan,7,100.0
Absorbance Speed,7,Top 25%,T3B%,Gender,Perempuan,7,100.0
Absorbance Speed,7,Top 25%,TB%,Gender,Perempuan,7,100.0
Absorbance Speed,7,Average 50%,MS,Methodology,CLT Pre-Recruit,15,7.0
Absorbance Speed,7,Average 50%,T2B%,Methodology,CLT Pre-Recruit,15,100.0
Absorbance Speed,7,Average 50%,T3B%,Methodology,CLT Pre-Recruit,15,100.0
Absorbance Speed,7,Average 50%,TB%,Methodology,CLT Pre-Recruit,15,100.0
Absorbance Speed,7,Bottom 25%,MS,Methodology,CLT Pre-Recruit,7,4.14
Absorbance Speed,7,Bottom 25%,T2B%,Methodology,CLT Pre-Recruit,7,42.86
Absorbance Speed,7,Bottom 25%,T3B%,Methodology,CLT Pre-Recruit,7,57.14
Absorbance Speed,7,Bottom 25%,TB%,Methodology,CLT Pre-Recruit,7,0.0
Absorbance Speed,7,Top 25%,MS,Methodology,CLT Pre-Recruit,7,7.0
Absorbance Speed,7,Top 25%,T2B%,Methodology,CLT Pre-Recruit,7,100.0
Absorbance Speed,7,Top 25%,T3B%,Methodology,CLT Pre-Recruit,7,100.0
Absorbance Speed,7,Top 25%,TB%,Methodology,CLT Pre-Recruit,7,100.0
